CallerType,CallerMethod,CueValue,CueName,VoiceMethodCalled,ILOffset
CommonTimer,SetTimerCount,0,VO_000001,Animator.Play,320
UserEntryPlate,AnimHide,0,VO_000001,Animator.Play,22
UserEntryPlate,SetDxPathStatus,0,VO_000001,Animator.Play,66
SimpleAnimation,Start,2,VO_000003,AnimationMixerPlayable.Create,9
SimpleAnimation,Start,1,VO_000002,AnimationMixerPlayable.Create,9
SimpleAnimation,Start,0,VO_000001,PlayableGraph.GetOutput,26
SimpleAnimation,Play,0,VO_000001,PlayableGraph.Disconnect,37
SimpleAnimation,Play,1,VO_000002,PlayableGraph.Disconnect,55
SimpleAnimation,Play,0,VO_000001,PlayableExtensions.ConnectInput,97
SimpleAnimation,Play,0,VO_000001,PlayableExtensions.ConnectInput,97
SimpleAnimation,Play,1,VO_000002,PlayableExtensions.SetInputWeight,114
DebugGameMainObject+<ProcessCoroutine>d__31,MoveNext,0,VO_000001,GamePlayManager.DebugSetGameScore,247
DebugGameMainObject+<ProcessCoroutine>d__31,MoveNext,1,VO_000002,GamePlayManager.DebugSetGameScore,278
DebugGameMainObject+<ProcessCoroutine>d__31,MoveNext,2,VO_000003,GamePlayManager.DebugSetGameScore,309
DebugGameMainObject+<ProcessCoroutine>d__31,MoveNext,3,VO_000004,GamePlayManager.DebugSetGameScore,340
DebugGameMainObject+<>c__DisplayClass32_0,<GetUserPreview>b__0,0,VO_000001,SeManager.PlaySE,120
CollectionMonitor,Initialize,7,VO_000008,Animator.Play,556
CollectionMonitor,SetSelectorBaseColor,0,VO_000001,SelectorBackgroundController.Play,30
CollectionMonitor,SetSelectorBaseColorWithSubSequenceId,0,VO_000001,SelectorBackgroundController.Play,221
FavoriteButton,Pressed,142,VO_000143,SoundManager.PlaySE,40
PartnerRoom,PlayPartnerFunLoopOnceTime,3,VO_000004,NavigationCharacter.Play,27
PartnerRoom,PlayPartnerFunStart,2,VO_000003,NavigationCharacter.Play,27
PartnerRoom+<WaitTimeToDefault>d__35,MoveNext,0,VO_000001,NavigationCharacter.Play,74
ShopPartnerGetWindow,Initalize,0,VO_000001,PlayableDirector.set_extrapolationMode,129
ShopPartnerGetWindow,PlayPartnerFunLoopOnceTime,3,VO_000004,NavigationCharacter.Play,27
ShopPartnerGetWindow+<PlayPartnerVoice>d__31,MoveNext,65,VO_000066,SoundManager.PlayPartnerVoice,76
ShopPartnerGetWindow+<WaitTimeToDefault>d__33,MoveNext,0,VO_000001,NavigationCharacter.Play,74
ShopSetPartnerDialog,FadeInEnterProcess,0,VO_000001,Animator.Play,18
ShopSetPartnerDialog,FadeOutEnterProcess,0,VO_000001,Animator.Play,18
ShopSetPartnerDialog,FadeInSetPartnerEnterProcess,0,VO_000001,Animator.Play,18
ShopSetPartnerDialog,FadeOutSetPartnerEnterProcess,0,VO_000001,Animator.Play,18
CollectionGetCard,Play,7,VO_000008,Animator.Play,11
CollectionGetList,PlayGetMoreAnim,7,VO_000008,AnimationParts.Play,19
CollectionGetList,PrepareAddAnimation,176,VO_000177,SoundManager.PlaySE,82
CollectionGetList,PlayAddAnimation,176,VO_000177,SoundManager.PlaySE,179
CollectionGetMonitor,StartAnimation,0,VO_000001,AnimationParts.Play,151
CollectionGetMonitor+<>c__DisplayClass12_0,<StartAnimation>b__0,0,VO_000001,AnimationParts.Play,48
CourseControllerBase,PlayInAnimation,7,VO_000008,AnimationParts.Play,11
CourseTransition,SetAnim,7,VO_000008,SoundManager.PlaySE,74
ClassMedalObject,Loop,0,VO_000001,Animator.Play,17
ClassMedalObject,ClassUp,0,VO_000001,Animator.Play,17
ClassMedalObject,ClassDown,0,VO_000001,Animator.Play,17
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,257
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,279
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,303
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,303
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,463
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,463
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,463
FriendBattleResultMonitor,SetClassData,1,VO_000002,Animator.Play,564
FriendBattleResultMonitor,SetClassData,1,VO_000002,Animator.Play,564
FriendBattleResultMonitor,SetClassData,1,VO_000002,Animator.Play,678
FriendBattleResultMonitor,SetClassData,1,VO_000002,Animator.Play,754
FriendBattleResultMonitor,SetClassData,1,VO_000002,Animator.Play,754
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,754
FriendBattleResultMonitor,SetClassData,10,VO_000011,Animator.Play,754
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,809
FriendBattleResultMonitor,SetClassData,10,VO_000011,Animator.Play,809
FriendBattleResultMonitor,SetClassData,0,VO_000001,Animator.Play,1035
FriendBattleResultMonitor,DoBattleResult,0,VO_000001,Animator.Play,102
FriendBattleResultMonitor,DoBattleResult,0,VO_000001,Animator.Play,176
FriendBattleResultMonitor,DoBattleResult,0,VO_000001,Animator.Play,214
FriendBattleResultMonitor,DoBattleResult,0,VO_000001,Animator.Play,250
FriendBattleResultMonitor,DoBattleResult,0,VO_000001,Animator.Play,317
FriendBattleResultMonitor,DoBattleResult,0,VO_000001,Animator.Play,449
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,386
FriendBattleResultMonitor,DoGemResult,10,VO_000011,NavigationCharacter.Play,417
FriendBattleResultMonitor,DoGemResult,2,VO_000003,NavigationCharacter.Play,417
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,461
FriendBattleResultMonitor,DoGemResult,4,VO_000005,NavigationCharacter.Play,719
FriendBattleResultMonitor,DoGemResult,30,VO_000031,Animator.Play,834
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,834
