VO_ID,Cue_Index,Voice_Type,ACB_File,Game_Context,Caller_Methods,Evidence,Also_In_Other_Voice_Map,Notes
VO_000001,0,System,Voice_000001,Entry / General system voice,ModeSelectMonitor.ViewUpdate; AdvDemoProcess.OnUpdate; CharacterSelectProces.PostReset; NameEntryProcess.OnUpdate,Confirmed,No,Used across multiple screens. Often appears as target param (0=both monitors) but also as a conditional cue in mode selection and character select.
VO_000002,1,System,Voice_000001,Entry / General system voice,ModeSelectMonitor.ViewUpdate; CharacterSelectProces.PostReset; PhotoShootProcess.ChangeCountDownSound; TutorialSelectProces.OnUpdate,Confirmed,No,"Appears in mode select branches, photo countdown, and tutorial. Sometimes used as target param (1=player 1)."
VO_000003,2,System,Voice_000001,Entry / General system voice,AdvertiseProcess.OnUpdate (PlayVoice); CharacterSelectProces.PostReset; PhotoEditProcess.MainMenuUpdate; TutorialSelectProces.OnUpdate,Confirmed,No,"Advertise screen voice; appears in character select, photo edit, tutorial select."
VO_000004,3,System,Voice_000001,Mode select / Photo sequence voice,ModeSelectMonitor.ViewUpdate; AdvDemoProcess.OnUpdate; PhotoShootProcess.EnterPhotographingSequence; SimpleSettingProcess.EnterPhotographingSequence; RegionalSelectProcess.RegionSelectDecide,Confirmed,No,Mode selection voice; photo sequence entrance; regional select voice.
VO_000005,4,System,Voice_000001,Mode select / Ticket select voice,ModeSelectMonitor.ViewUpdate; CharacterSelectProces.PostReset; TicketSelectMonitor.ViewUpdate; PlayAdvertiseVoice calls,Confirmed,No,Mode select branch voice; ticket select screen; advertise voice.
VO_000006,5,System,Voice_000001,Entry confirmation voice,Process.Entry.State.ConfirmEntry.Exec (via StateEntry.PlayVoice),Confirmed,No,Played when entry is confirmed. Conditional with VO_000001.
VO_000007,6,System,Voice_000001,Ticket select voice,Monitor.TicketSelect.TicketSelectMonitor.ViewUpdate,Confirmed,No,Plays during ticket selection screen updates.
VO_000008,7,System,Voice_000001,Photo countdown / General countdown,PhotoShootProcess.ChangeCountDownSound; SimpleSettingProcess.ChangeCountDownSound,Confirmed,No,Countdown sound during photo shoot sequence. Part of 3-2-1 countdown set with VO_000031/VO_000032.
VO_000009,8,System,Voice_000001,Information screen voice,Monitor.Information.InformationMonitor.ViewUpdate,Confirmed,No,Plays during information/announcement display.
VO_000011,10,System,Voice_000001,System / Result display,FriendBattleResultMonitor.SetClassData; FriendSeasonRankingMonitor.PlayRankingSE (as SE),Inferred,No,Used in friend battle result class data display. May be a ranking/tier voice.
VO_000012,11,System,Voice_000001,Please Wait countdown,PleaseWaitProcess.OnUpdate → PleaseWaitMonitor.Play10CountDown,Confirmed,No,10-second countdown during Please Wait screen.
VO_000013,12,System,Voice_000001,System voice (sequential),,Inferred,No,Sequential block between VO_000012 and VO_000015. Likely countdown or wait-related.
VO_000015,14,System,Voice_000001,Collection screen update voice,CollectionProcess.OnUpdate,Confirmed,No,Plays during collection screen interaction updates.
VO_000016,15,System,Voice_000001,Judge SE trigger (note judgment),NoteBase.Judge; NoteBase.JudgeToolate; HoldNote.JudgeHoldHead; BreakHoldNote.JudgeHoldHead; TouchHoldC.JudgeHoldHead; TouchNoteB.Judge,Confirmed,No,Internal trigger for note judgment sound effects. Used as parameter to PlayJudgeSe methods.
VO_000017,16,System,Voice_000001,Name entry interaction,NameEntryProcess.OnUpdate,Confirmed,No,Voice during name entry update; paired with target param at same offset.
VO_000018,17,System,Voice_000001,Name entry confirm,NameEntryMonitor.Input2Confirm,Confirmed,No,Voice when name input is confirmed (solo entry - no ambiguous values at this call).
VO_000019,18,System,Voice_000001,Name entry completed,NameEntryMonitor.GotoCompleted,Confirmed,No,Voice when name entry is complete and transitioning.
VO_000020,19,System,Voice_000001,Code read start,Process.CodeRead.CodeReadProcess.StartLogic,Confirmed,No,Voice at the start of QR/barcode reading sequence. Called twice (two branches).
VO_000022,21,System,Voice_000001,Code read / Card scan interaction,CodeReadProcess.FirstInformationReadMessageComplete; CodeReadProcess.LogicUpdate; CodeReadProcess.UpdateInput,Confirmed,No,"Voice during various code read states - first info complete, logic updates, input processing."
VO_000024,23,System,Voice_000001,System voice (gap fill),,Inferred,No,Between code read (VO_000022) and settings (VO_000026). Likely code-read or transition related.
VO_000026,25,System,Voice_000001,Simple setting voice,SimpleSettingMonitor+<PlayCoroutine>.MoveNext,Confirmed,No,Voice during initial simple settings coroutine.
VO_000027,26,System,Voice_000001,Photo preparation voice,PhotoShootProcess.EnterPhotographingSequence; SimpleSettingProcess.EnterPhotographingSequence,Confirmed,No,Voice when preparing the photo sequence. Plays after VO_000029.
VO_000028,27,System,Voice_000001,System voice (photo sequence block),,Inferred,No,Sequential between VO_000027 and VO_000029 in the photo sequence block.
VO_000029,28,System,Voice_000001,Photo notification / Entry voice,PhotoShootProcess.EnterPhotographingSequence; SimpleSettingProcess.EnterPhotographingSequence,Confirmed,No,First voice when entering photo sequence. Also conditional with VO_000004.
VO_000030,29,System,Voice_000001,System voice (countdown block),,Inferred,No,Adjacent to countdown voices VO_000031/VO_000032. Likely part of countdown set.
VO_000031,30,System,Voice_000001,Photo countdown (3 or 2),PhotoShootProcess.ChangeCountDownSound; SimpleSettingProcess.ChangeCountDownSound,Confirmed,No,Part of photo countdown sequence. Called at different IL offsets from VO_000032.
VO_000032,31,System,Voice_000001,Photo countdown (1 or Go),PhotoShootProcess.ChangeCountDownSound; SimpleSettingProcess.ChangeCountDownSound,Confirmed,No,Part of photo countdown sequence. Appears twice at different offsets (likely 2 and 1 counts).
VO_000033,32,System,Voice_000001,Character select lock SE,CharacterSelectProces.Lock (via PlaySE),Confirmed,No,"Sound when locking in character selection. Note: This is the SE (sound effect) cue, not necessarily a voice line - same cue index space."
VO_000034,33,System,Voice_000001,System voice (settings block),,Inferred,No,"Sequential after VO_000033, within settings/character block."
VO_000035,34,System,Voice_000001,System voice (settings block),,Inferred,No,"Sequential within settings block, before VO_000036."
VO_000036,35,System,Voice_000001,Tutorial select voice,TutorialSelectProces.OnUpdate,Confirmed,No,Voice during tutorial selection. Paired with VO_000002 and VO_000003 as conditional branches.
VO_000037,36,System,Voice_000001,System voice (selection block),,Inferred,No,Sequential within selection block.
VO_000038,37,System,Voice_000001,System voice (selection block),,Inferred,No,Adjacent to mode selection voices.
VO_000040,39,System,Voice_000001,System voice (gap - no idx 39 in enum due to VO_000039 missing),,Inferred,No,In system voice block after VO_000038. Note: VO_000039 not in system enum.
VO_000041,40,System,Voice_000001,System voice,,Inferred,No,In the general system voice block. Note: also exists in partner voice map.
VO_000042,41,System,Voice_000001,System voice,,Inferred,No,In the general system voice block.
VO_000043,42,System,Voice_000001,System voice,,Inferred,No,Sequential system voice.
VO_000044,43,System,Voice_000001,System voice,,Inferred,No,Sequential system voice.
VO_000045,44,System,Voice_000001,System voice,,Inferred,No,Sequential system voice.
